id,NOM,NOM-titre,composante,contre indication,effet indesirable,précaution emploi,sur dosage,Classes thérapeutiques,pour lesquelles ce médicament peut être prescrit,autres formes,Forme pharmaceutique,Code ATC,Classepharmacothérapeutique,CODE,DCI1,DOSAGE1,UNITE_DOSAGE1,FORME,PRESENTATION,PPV,PH,PRIX_BaseRembours,PRINCEPS_GENERIQUE,TAUX_REMBOURSEMENT
231,MILLIGYNON,"MILLIGYNON, comprimé, boîte de 1 plaquette de 28",Noréthistérone : 0.6 mg *,"Hépatite,Antécédent récent d'hépatite,Insuffisance hépatique,Cancer du sein,Cancer de l'endomètre,Grossesse,Dystrophie ovarienne,Mastodynie,Mastopathie bénigne","Irrégularité de cycle,Saignement intermenstruel,Aménorrhée,Oedème cyclique,Mastodynie","Antécédent de salpingite,Antécédent de grossesse extra-utérine,Antécédent d'ictère cholestatique de la grossesse,Antécédent de prurit gravidique,Ictère chronique héréditaire",,Contraception et interruption de grossesse,Contraception orale,"MILLIGYNON, comprimé, boîte de 3 plaquettes de 28",Comprimé,G03AC01,Norethistérone,6118001200115,NORETHISTERONE,0.6G,G,COMPRIME,1 BOITE 84 COMPRIME, 63.90   , -     , 63.90   ,P,0%
232,MIGRALGINE,"MIGRALGINE, gélule, boîte de 12","Paracétamol : 400 mg *,Caféine : 62.5 mg *,Codéine : 20 mg *","Hypersensibilité paracétamol,Hypersensibilité codéine,Hypersensibilité caféine,Insuffisance respiratoire,Allaitement,Métaboliseur ultrarapide du CYP2D6,Enfant,Insuffisance hépatique sévère,Consommation d'alcool,Intolérance au galactose,Syndrome de malabsorption du glucose et du galactose,Déficit en lactase,Grossesse","Constipation,Bouche sèche,Nausée,Vomissement,Etourdissement,Somnolence,Hyperhidrose,Tachycardie,Palpitation,Douleur abdominale,Dyspepsie,Réaction anaphylactique,Réaction d'hypersensibilité,Augmentation des transaminases,Mal de tête,Insomnie,Sédation,Agitation,Dépendance,Syndrome de sevrage,Euphorie,Bronchospasme,Dyspnée,Dépression respiratoire,Flush,Angioedème,Prurit cutané,Eruption cutanée,Urticaire,Thrombopénie,Leucopénie,Neutropénie,Dysphorie,Myosis,Rétention urinaire,Etat vertigineux,Syndrome douloureux abdominal aigu de type biliaire,Syndrome douloureux abdominal aigu de type pancréatique,Spasme du sphincter d'Oddi,Dépendance aux opioïdes,Excitation,Dépendance physique,Dépendance psychique","Insuffisance rénale sévère (Clcr < 10 ml/mn),Sujet âgé,Insuffisant hépatique léger à modéré,Trouble convulsif,Blessure à la tête,Hypertension intracrânienne,Diminution de la capacité respiratoire,Oedème pulmonaire,Asthme bronchique,Bronchopneumopathie chronique obstructive sévère,Maladie obstructive intestinale,Iléus paralytique,Somnolence diurne excessive,Confusion,Respiration superficielle,Hypersensibilité cutanée,Dépendance alcoolique,Cholécystectomisé,Déficit en G6PD","SYMPTOMES DE SURDOSAGE AU PARACETAMOL,L'intoxication est à craindre chez les sujets âgés et surtout chez les jeunes enfants (surdosage thérapeutique ou intoxication accidentelle fréquente) chez qui elle peut être mortelle.,Symptômes,Effets cliniques associés à un surdosage de paracétamol considérés comme prévus au vu du surdosage, y compris les événements mortels dus à une insuffisance hépatique fulminante ou de ses séquelles.,Troubles du métabolisme et de la nutrition,Anorexie.,Affections gastro-intestinales,Nausées, vomissements, inconfort abdominal. Les douleurs abdominales apparaissent généralement dans les 24 premières heures mais peuvent ne pas apparaitre jusqu'à 48 à 72 heures après l'ingestion.,Affections hépatobiliaires,Nécrose hépatique, insuffisance hépatique aigue, ictère, hépatomégalie, sensibilité hépatique.,Troubles généraux et anomalies au site d'administration,Pâleur, hyperhidrose, malaise.,Investigations,Augmentation de la bilirubinémie, augmentation des enzymes hépatiques, augmentation de l'INR, augmentation du temps de prothrombine, augmentation du phosphate sanguin, augmentation du taux de lactate sanguin.,Les événements cliniques suivants sont des séquelles de l'insuffisance hépatique aiguë et peuvent être mortels. Si ces événements se produisent dans le cadre d'une insuffisance hépatique aiguë associée à un surdosage de paracétamol (adultes et adolescents : ≥ 12 ans d'âge : > 7,5 mg dans les 8 heures ; les enfants de < 12 ans:> 150 mg / kg dans les 8 heures), ils sont considérés comme attendus.,Infections et infestations,Septicémie, infection fongique, infection bactérienne.,Affections hématologiques et du système lymphatique,Coagulation, ,intravasculaire disséminée, coagulopathie, thrombocytopénie.,Troubles du métabolisme et de la nutrition,Hypoglycémie, hypophosphatémie, acidose métabolique, acidose lactique.,Affections du système nerveux,Coma (dans le cadre d'une overdose massive au paracétamol ou d'une overdose à plusieurs substances), encéphalopathie, oedème cérébral.,Affections cardiaques,Cardiomyopathie.,Affections vasculaires,Hypotension.,Affections respiratoires, thoraciques et médiastinales,Insuffisance respiratoire.,Affections gastro-intestinales,Pancréatite, hémorragie gastro-intestinale.,Affections du rein et des voies urinaires,Insuffisance rénale aiguë.,Troubles généraux et anomalies au site d'administration,Défaillance de plusieurs organes.,Un surdosage, à partir de 10 g de paracétamol en une seule prise chez l'adulte et 150 mg/kg de poids corporel en une seule prise chez l'enfant, provoque une cytolyse hépatique susceptible d'aboutir à une nécrose complète et irréversible se traduisant par une insuffisance hépatocellulaire, une acidose métabolique, une encéphalopathie pouvant aller jusqu'au coma et à la mort.,Simultanément, on observe une augmentation des transaminases hépatiques, de la lactico-déshydrogénase, de la bilirubine et une diminution du taux de prothrombine pouvant apparaître 12 à 48 heures après l'ingestion.,Conduite d'urgence,·,         ,Transfert immédiat en milieu hospitalier.,·,         ,Prélever un tube de sang pour faire le dosage plasmatique initial de paracétamol.,·,         ,Evacuation rapide du produit ingéré, par lavage gastrique,,·,         ,Le traitement du surdosage comprend classiquement l'administration aussi précoce que possible de l'antidote N-acétylcystéine par voie I.V. ou voie orale si possible avant la dixième heure.,·,         ,Traitement symptomatique.,SYMPTOMES DE SURDOSAGE EN CODEINE,Symptômes chez l'adulte,Dépression aiguë des centres respiratoires (cyanose, bradypnée), hypoxie, oedème cérébral, coma, stupeur, état confusionnel, convulsions, hypotension, somnolence, rash, vomissements, prurit, ataxie, oedème pulmonaire (plus rare), iléus, myosis, insuffisance rénale.,Symptômes chez l'enfant (seuil toxique : 2 mg/kg en prise unique),Bradypnée, pauses respiratoires, myosis, agitation, convulsions, signes d'histamino-libération : flush et oedème du visage, éruption urticarienne, collapsus, rétention d'urine.,Conduite à tenir,Stimulation-ventilation assistée avant réanimation cardio-respiratoire en service spécialisé.,Traitement spécifique par la naloxone : mise en place d'une voie d'abord avec surveillance pendant le temps nécessaire à la disparition des symptômes. ,Symptômes de surdosage en caféine,Les symptômes d'un surdosage aigu de caféine comprennent : douleurs abdominales, bouffées de chaleur, frissons, agitation, insomnie, irritabilité, perte d'appétit, faiblesse, tremblements, rigidité, vomissements, état de conscience modifié, hypertension suivie par une hypotension, tachycardie, tachypnée, diurèse, fièvre, délires, hallucinations, hypokaliémie, hyponatrémie, l'hyperglycémie, acidose métabolique, convulsions, rhabdomyolyse, arythmies supraventriculaires et ventriculaires.,Les symptômes de l'intoxication chronique à la caféine chronique (""caféinisme"") incluent : irritabilité, insomnie, anxiété, instabilité émotionnelle, douleurs abdominales chroniques.",Antalgiques,Affection douloureuse modérée à intense,"MIGRALGINE, gélule, boîte de 18,MIGRALGINE, solution buvable, flacon (+ godet) de 125 ml",Gélule,N02BE51,Paracétamol en association sauf aux psycholeptiques,6118000040538,PARACETAMOL / CAFEINE,400 / 62.5MG / MG,MG / MG,GELULE,1 BOITE 18 GELULE, 21.50   , 14.20   , 21.50   ,P,0%
233,MIFLASONE,"MIFLASONE 200 microgrammes, poudre pour inhalation en gélule, boîte de 60 gélules (+ 1 inhalateur)",Béclométasone : 200 µg *,Hypersensibilité béclométasone,"Candidose oropharyngée,Hyperactivité psychomotrice,Trouble du sommeil,Anxiété,Syndrome dépressif,Agressivité,Troubles du comportement,Gêne oropharyngée,Dysphonie,Raucité de la voix,Bronchospasme,Cataracte,Glaucome,Vision floue,Ecchymose,Amincissement cutané,Diminution de la densité osseuse,Contracture musculaire,Trouble endocrinien,Inhibition de la fonction surrénalienne,Hypercorticisme,Syndrome de Cushing,Réaction d'hypersensibilité,Rash cutané,Prurit,Urticaire,Angioedème,Pneumonie,Ralentissement de croissance","Dyspnée paroxystique,Asthme aigu grave,Sportif,Exacerbation d'asthme,Infection bronchique,Bronchorrhée abondante,Tuberculose pulmonaire,Infection mycosique pulmonaire,Bronchopneumopathie chronique obstructive,Tabagisme,Faible indice de masse corporelle,Candidose oropharyngée,Bronchospasme,Trouble visuel,Facteurs de risque d'ostéoporose,Surveillance croissance de l'enfant,Grossesse,Nouveau-né de mère traitée,Allaitement","L'emploi de ce médicament à des doses très supérieures aux doses recommandées est le reflet d'une aggravation de l'affection respiratoire nécessitant une consultation rapide pour réévaluation thérapeutique.,L'effet toxique attendu, après inhalation de doses élevées de béclométasone au long court est la dépression de la fonction hypothalamo-hypophyso-surrénalienne.,Un surdosage aigu en béclométasone même à doses excessives ne devrait pas avoir d'impact clinique.",Pneumologie,Asthme persistant,"MIFLASONE 100 microgrammes, poudre pour inhalation en gélule, boîte de 60 gélules (+ 1 inhalateur),MIFLASONE 400 microgrammes, poudre pour inhalation en gélule, boîte de 60 gélules (+ 1 inhalateur)",Poudre pour inhalation en gélule,R03BA01,Béclométasone,6118001030255,BECLOMETASONE,200µG,µG,GELULE INHALEE,1 BOITE 60 GELULE, 71.40   , 44.60   , 71.40   ,P,70%
234,LYSO 6,"LYSO 6, comprimé sublingual, boîte de 3 plaquettes thermoformées de 10","Pyridoxine : 10 mg *,Lysozyme : 20 mg *","Hypersensibilité pyridoxine,Hypersensibilité oeuf,Hypersensibilité lysozyme,Enfant de moins de 6 ans,Intolérance au galactose,Syndrome de malabsorption du glucose et du galactose,Déficit en lactase,Allaitement","Choc anaphylactique,Réaction anaphylactique,Oedème de Quincke,Urticaire,Prurit cutané,Photosensibilité",Grossesse,"En cas de surdosage aigüe avec le Lyso6, aucune conséquence clinique n'est attendue.,En cas de prise de fortes doses de pyridoxine (>200 mg/j) pendant une longue période (plusieurs mois voire années), risque de neuropathie sensorielle réversible à l'arrêt du traitement (voir rubrique ,Mises en garde et précautions d'emploi,).",Oto-rhino-laryngologie,Affection de la muqueuse buccale et de l'oropharynx,,Comprimé sublingual,A01AD11,Divers autres médicaments pour traitement oral local,6118000020202,LYSOZYME / PYRIDOXINE (VITAMINE B6),20 / 10MG / MG,MG / MG,COMPRIME SUBLINGUAL,1 BOITE 20 COMPRIME, 15.00   , 9.90   , 15.00   ,P,0%
235,LYRICA,"LYRICA 200 mg, gélule, boîte de 100 plaquettes prédécoupées de 1",Prégabaline : 200 mg *,"Hypersensibilité prégabaline,Enfant de moins de 18 ans,Absence de contraception féminine efficace,Allaitement,Intolérance au galactose,Déficit en lactase,Malabsorption du glucose-galactose,Consommation d'alcool,Grossesse","Nasopharyngite,Neutropénie,Hypersensibilité,Oedème de Quincke,Réaction allergique,Augmentation de l'appétit,Anorexie,Hypoglycémie,Humeur euphorique,Confusion,Irritabilité,Désorientation,Insomnie,Diminution de la libido,Hallucination,Attaque de panique,Nervosité,Agitation,Dépression,Humeur dépressive,Exaltation,Agression,Humeur changeante,Dépersonnalisation,Manque du mot,Rêves anormaux,Augmentation de la libido,Anorgasmie,Apathie,Désinhibition,Etourdissement,Somnolence,Céphalée,Ataxie,Trouble de la coordination,Tremblement,Dysarthrie,Amnésie,Trouble de la mémoire,Trouble de l'attention,Paresthésie,Hypo-esthésie,Sédation,Trouble de l'équilibre,Léthargie,Syncope,Stupeur,Myoclonie,Perte de connaissance,Hyperactivité psychomotrice,Dyskinésie,Vertige de position,Tremblement intentionnel,Nystagmus,Trouble cognitif,Altération de la fonction mentale,Trouble du langage,Hyporéflexie,Hyperesthésie,Sensation de brûlure,Agueusie,Malaise,Convulsions,Parosmie,Hypokinésie,Dysgraphie,Vision trouble,Diplopie,Perte de la vision périphérique,Troubles visuels,Gonflement des yeux,Anomalie du champ visuel,Diminution de l'acuité visuelle,Douleur oculaire,Fatigue visuelle,Photopsie,Sécheresse oculaire,Larmoiement,Irritation des yeux,Perte de la vue,Kératite,Oscillopsie,Altération de la vision stéréoscopique,Mydriase,Strabisme,Halo visuel,Vertige labyrinthique,Hyperacousie,Tachycardie,Bloc auriculoventriculaire du premier degré,Bradycardie sinusale,Insuffisance cardiaque congestive,Allongement de l'intervalle QT,Tachycardie sinusale,Arythmie sinusale,Hypotension,Hypertension,Bouffées de chaleur,Bouffées vasomotrices,Sensation de froid aux extrémités,Dyspnée,Epistaxis,Toux,Congestion nasale,Rhinite,Ronflement,Sécheresse nasale,Oedème pulmonaire,Sensation de constriction du pharynx,Vomissement,Nausée,Constipation,Diarrhée,Flatulence,Distension abdominale,Bouche sèche,Reflux gastro-oesophagien,Sialorrhée,Hypo-esthésie orale,Ascite,Pancréatite,Gonflement de la langue,Dysphagie,Augmentation des enzymes hépatiques,Augmentation de l'alanine aminotransférase,Augmentation de l'aspartate aminotransférase,Ictère,Insuffisance hépatique,Hépatite,Eruption papuleuse,Urticaire,Hyperhidrose,Prurit cutané,Syndrome de Stevens-Johnson,Sueurs froides,Crampe musculaire,Arthralgie,Dorsalgie,Douleur des membres,Spasme cervical,Gonflement articulaire,Myalgie,Contraction musculaire,Douleur cervicale,Rigidité musculaire,Rhabdomyolyse,Incontinence urinaire,Dysurie,Insuffisance rénale,Oligurie,Rétention urinaire,Troubles de l'érection,Dysfonction sexuelle,Retard de l'éjaculation,Dysménorrhée,Douleur mammaire,Aménorrhée,Ecoulement mammaire,Hypertrophie mammaire,Gynécomastie,Oedème périphérique,Oedème,Trouble de la marche,Chute,Sensation d'ébriété,Sensation anormale,Fatigue,Oedème généralisé,Oedème de la face,Oppression thoracique,Douleur,Hyperthermie,Soif,Frissons,Asthénie,Prise de poids,Augmentation de la créatine-phosphokinase,Glycémie augmentée,Augmentation des plaquettes,Augmentation de la créatininémie,Kaliémie diminuée,Perte de poids,Numération des globules blancs diminuée,Symptômes de sevrage,Anxiété,Syndrome grippal,Etat de mal épileptique,Grand mal épileptique,Transit gastrique ralenti,Transit intestinal retardé,Obstruction intestinale,Iléus paralytique,Encéphalopathie","Diabète,Réaction d'hypersensibilité,Sujet âgé,Troubles visuels,Insuffisance rénale (Clcr < 60 ml/mn),Altération de la fonction cardiaque,Lésion de la moelle épinière,Idée suicidaire,Comportement suicidaire,Antécédent de toxicomanie,Facteurs de risque d'encéphalopathie,Femme en âge de procréer","Au cours de la commercialisation, les effets indésirables les plus fréquemment rapportés en cas de surdosage avec la prégabaline ont été : somnolence, état confusionnel, agitation et nervosité. Des crises convulsives ont également été rapportées.,Des cas de coma ont été rapportés dans de rares occasions.,Le traitement d'un surdosage avec la prégabaline est symptomatique et une hémodialyse peut être réalisée si nécessaire (voir rubrique ,Posologie et mode d'administration, Tableau 1).,
                        ",Antalgiques,"Douleur neuropathique,Crise épileptique partielle avec ou sans généralisation secondaire,Trouble anxieux généralisé","LYRICA 300 mg, gélule, boîte de 56,LYRICA 300 mg, gélule, boîte de 100 plaquettes prédécoupées de 1,LYRICA 20 mg/ml, solution buvable, boîte de 1 flacon (+ seringue doseuse) de 473 ml,LYRICA 150 mg, gélule, boîte de 56,LYRICA 200 mg, gélule, boîte de 84,LYRICA 25 mg, gélule, boîte de 84,LYRICA 25 mg, gélule, boîte de 56,LYRICA 50 mg, gélule, boîte de 84,LYRICA 75 mg, gélule, boîte de 56,LYRICA 100 mg, gélule, boîte de 84,LYRICA 25 mg, gélule, boîte de 100 plaquettes prédécoupées de 1,LYRICA 50 mg, gélule, boîte de 100 plaquettes prédécoupées de 1,LYRICA 75 mg, gélule, boîte de 100 plaquettes prédécoupées de 1,LYRICA 100 mg, gélule, boîte de 100 plaquettes prédécoupées de 1,LYRICA 150 mg, gélule, boîte de 100 plaquettes prédécoupées de 1",Gélule,N03AX16,Prégabaline,6118001170715,PREGABALIN,300MG,MG,GELULE,1 BOITE 56 GELULE," 1,000.00   ", 661.50   ," 1,000.00   ",P,0%
236,LYSANXIA,"LYSANXIA 10 mg, comprimé, boîte de 40",Prazépam : 10 mg *,"Hypersensibilité prazépam,Insuffisance respiratoire sévère,Syndrome d'apnée du sommeil,Insuffisance hépatique sévère,Myasthénie,Enfant de moins de 6 ans,Enfant de 6 à 15 ans,Intolérance au galactose,Déficit en lactase,Syndrome de malabsorption du glucose,Syndrome de malabsorption du galactose,Grossesse,Allaitement,Consommation d'alcool","Amnésie antérograde,Trouble du comportement,Altération de l'état de conscience,Irritabilité,Agressivité,Agitation,Dépendance physique,Dépendance psychique,Syndrome de sevrage,Syndrome de rebond,Sensation ébrieuse,Céphalée,Ataxie,Confusion,Diminution de la vigilance,Somnolence,Insomnie,Cauchemars,Tension nerveuse,Modification de la libido,Eruption cutanée,Eruption prurigineuse,Hypotonie musculaire,Asthénie,Diplopie,Anxiété,Douleur musculaire,Paresthésie des extrémités,Hypersensibilité à la lumière,Sensibilité exacerbée au bruit,Hypersensibilité au contact physique,Dépersonnalisation,Déréalisation,Hallucination,Convulsions,Nervosité,Idée délirante,Etat confuso-onirique,Symptômes psychotiques,Désinhibition,Euphorie,Suggestibilité,Comportement anormal,Comportement agressif,Conduite automatique avec amnésie post-événementielle,Dépression respiratoire","Comportement anormal,Comportement agressif,Conduite automatique avec amnésie post-événementielle,Patient âgé,Insuffisance rénale,Insuffisance hépatique légère à modérée,Antécédent de dépendance alcoolique,Antécédent de pharmacodépendance,Dépression,Phénomène de rebond,Insuffisance respiratoire,Nouveau-né de mère traitée,Femme souhaitant concevoir","Le pronostic vital peut être menacé, notamment dans les cas de polyintoxication impliquant d'autres dépresseurs du système nerveux central (y compris l'alcool).,En cas de prise massive, les signes de surdosage se manifestent principalement par une dépression du SNC pouvant aller de la somnolence jusqu'au coma, selon la quantité ingérée.,Les cas bénins se manifestent par des signes de confusion mentale, une léthargie.,Les cas plus sérieux se manifestent par une ataxie, une hypotonie, une hypotension, une dépression respiratoire, exceptionnellement un décès.,En cas de surdosage oral antérieur à 1 heure, l'induction de vomissement sera pratiquée si le patient est conscient ou, à défaut, un lavage gastrique avec protection des voies aériennes. Passé ce délai, l'administration de charbon activé peut permettre de réduire l'absorption.,Une surveillance particulière des fonctions cardio-respiratoires en milieu spécialisé est recommandée.,L'administration de flumazénil peut être utile pour le diagnostic et/ou le traitement d'un surdosage intentionnel ou accidentel en benzodiazépines.,L'antagonisme par le flumazénil de l'effet des benzodiazépines peut favoriser l'apparition de troubles neurologiques (convulsions), notamment chez le patient épileptique.",Neurologie-psychiatrie,"Manifestation anxieuse sévère et/ou invalidante,Delirium tremens et autres manifestations du sevrage alcoolique","LYSANXIA 40 mg, comprimé sécable, boîte de 20,LYSANXIA 15 mg/ml, solution buvable en gouttes, flacon avec stilligoutte de 20 ml",Comprimé,N05BA11,Prazépam,6118000250296,PRAZEPAM,15MG,MG,SOLUTION POUR GOUTTES BUVABLES,1 FLACON 20 ML, 37.60   , 23.40   , 37.60   ,P,70%
237,LUTENYL,"LUTENYL 3,75 mg, comprimé, boîte de 14",Acétate de nomégestrol : 3.75 mg *,"Hypersensibilité acétate de nomégestrol,Cancer du sein,Antécédent de cancer du sein,Tumeur estrogénodépendante,Hémorragie génitale non diagnostiquée,Hyperplasie endométriale non traitée,Antécédent d'accident thrombo-embolique veineux,Thrombo-embolie,Thrombophilie,Affection hépatique aiguë,Antécédent d'affection hépatique jusqu'à normalisation des tests hépatiques,Porphyrie,Grossesse,Méningiome,Antécédent de méningiome,Intolérance au galactose,Syndrome de malabsorption du glucose,Syndrome de malabsorption du galactose,Déficit en lactase,Allaitement","Tumeur bénigne du sein,Aggravation de fibrome utérin,Méningiome,Dysménorrhée,Ménorragie,Troubles menstruels,Leucorrhée,Polype utérin,Endométriose,Candidose vaginale,Augmentation du volume mammaire,Douleur abdominale,Gonflement abdominal,Nausée,Vomissement,Constipation,Diarrhée,Céphalée,Migraine,Vertige,Crampe musculaire,Douleur dans les membres,Arthralgie,Anxiété,Dépression,Thrombose veineuse superficielle,Thrombophlébite,Hypertension artérielle,Oedème périphérique,Asthénie,Augmentation de l'appétit,Prise de poids,Rash cutané,Prurit cutané,Alopécie,Tests hépatiques anormaux,Cancer du sein,Cancer de l'endomètre,Cancer de l'ovaire,Thrombose veineuse profonde,Embolie pulmonaire,Maladie coronarienne,Accident vasculaire cérébral,Affection biliaire,Chloasma,Erythème polymorphe,Erythème noueux,Purpura vasculaire,Démence","Surveillance gynécologique,Surveillance mammaire,Fibrome utérin,Endométriose,Risque thrombo-embolique,Facteurs de risque de tumeurs estrogénodépendantes,Hypertension artérielle,Troubles hépatiques,Adénome hépatique,Diabète sucré,Lithiase biliaire,Céphalée sévère,Lupus érythémateux disséminé,Antécédent d'hyperplasie endométriale,Epilepsie,Asthme,Otospongiose,Ictère,Altération de la fonction hépatique,Saignements irréguliers,Intervention chirurgicale importante,Immobilisation prolongée,Obésité (IMC > 30 kg/m²),Cancer,Antécédent familial thrombo-embolique,Maladie coronarienne,Risque d'accident vasculaire cérébral,Insuffisance rénale,Insuffisance cardiaque,Hypertriglycéridémie,Femme de plus de 65 ans","Aucun cas de surdosage n'a été rapporté.,Le surdosage peut provoquer des nausées et des vomissements.",Gynécologie,Ménopause,"LUTENYL, comprimé sécable, boîte de 10",Comprimé,G03DB04,Nomégestrol,6118000010968,NOMEGESTROL,5MG,MG,COMPRIME SECABLE,1 BOITE 10 COMPRIME, 57.00   , 35.50   , 57.00   ,P,70%
238,NOOTROPYL,NOOTROPYL 3 g/15 mL Injectable boîte de 20 ampoules de 15 ml,Piracétam : 3 g *,"Hypersensibilité piracétam,Hypersensibilité dérivés de la pyrrolidone,Insuffisance rénale sévère,Hémorragie cérébrale,Chorée de Huntington,Grossesse,Allaitement","Nervosité,Agitation,Instabilité,Trouble du sommeil,Somnolence,Nausée,Vomissement,Diarrhée,Gastralgie,Réaction au point d'injection,Phlébite au niveau de la perfusion,Leucopénie,Thrombopénie","Indications limitées à l'adulte,Troubles de l'hémostase,Hémorragie sévère,Intervention chirurgicale à risque hémorragique,Insuffisance rénale (30 < Clcr < 60 ml/mn)","Symptômes ,Le plus important surdosage de piracétam rapporté a été une prise orale de 75 g. Un cas de diarrhée sanglante avec des douleurs abdominales a été observé, suite à la prise quotidienne de 75 g de piracétam par voie orale, mais était plus probablement dû à la dose extrême de sorbitol contenue dans la formulation utilisée. ,Aucun évènement indésirable supplémentaire spécifiquement lié au surdosage n'a été rapporté avec le piracétam.,Prise en charge du surdosage ,En cas de surdosage aigu et important, l'estomac peut être vidé par lavage gastrique ou induction de vomissements. Il n'existe aucun antidote spécifique du piracétam. Le traitement d'un surdosage sera symptomatique et peut inclure une hémodialyse. L'efficacité d'extraction par dialyse est de 50 à 60 % pour le piracétam.",Cardiologie et angéiologie,Myoclonie corticale,"NOOTROPYL 400 mg, gélule, boîte de 300,NOOTROPYL 1 g/5 ml, solution injectable en ampoule, boîte de 60 ampoules de 5 ml,NOOTROPYL 3 g/15 mL Injectable boîte de 4 ampoules de 15 ml,NOOTROPYL 800 mg, comprimé pelliculé, boîte de 45,NOOTROPYL 800 mg, comprimé pelliculé, boîte de 90,NOOTROPYL 400 mg, gélule, boîte de 60,NOOTROPYL 1 g/5 ml, solution injectable en ampoule, boîte de 12 ampoules de 5 ml,NOOTROPYL 20 %, solution buvable, flacon (+ mesurette graduée de 5 ml) de 125 ml,NOOTROPYL 1 200 mg Solution buvable boîte de 30 ampoules de 6 ml",Solution injectable,N06BX03,Piracétam,6118010035029,PIRACETAM,20%,%,SOLUTION BUVABLE,1 FLACON 125 ML, 93.00   , 61.50   , 93.00   ,P,0%
239,NOLVADEX,"NOLVADEX 10 mg, comprimé pelliculé, boîte de 30",Tamoxifène : 10 mg *,"Hypersensibilité tamoxifène,Grossesse,Absence de contraception efficace non hormonale,Allaitement,Enfant de moins de 6 ans,Enfant de 6 à 18 ans,Intolérance au galactose,Syndrome de malabsorption du glucose,Syndrome de malabsorption du galactose,Déficit en lactase","Atrophie pseudohyperplasique de l'endomètre,Hypertrophie endométriale,Polype de l'endomètre,Cancer de l'endomètre,Tumeur maligne Mullérienne mixte de l'endomètre,Accident vasculaire cérébral ischémique,Accident thrombo-embolique,Thrombose profonde,Complication microvasculaire au niveau du lambeau lors de la reconstruction mammaire,Embolie pulmonaire,Troubles visuels,Cataracte,Modification cornéenne,Rétinopathie,Neuropathie optique,Cécité,Paresthésie,Dysesthésie,Dysgueusie,Neuropathie périphérique sensitive,Bouffées de chaleur,Prurit vulvaire,Nausée,Leucorrhée,Eruption cutanée,Urticaire,Erythème polymorphe,Pemphigus bulleux,Syndrome de Stevens-Johnson,Vascularite cutanée,Réaction allergique,Oedème de Quincke,Alopécie,Céphalée,Aggravation de la douleur cancéreuse,Augmentation du volume de la tumeur mammaire,Hypercalcémie,Leucopénie,Anémie,Thrombocytopénie,Neutropénie,Agranulocytose,Modification des enzymes hépatiques,Stéatose hépatique,Cholestase hépatique,Hépatite,Nécrose hépatique,Cirrhose,Insuffisance hépatocellulaire,Douleur au niveau de la tumeur mammaire,Rétention hydrosodée,Hypertriglycéridémie,Pancréatite,Pneumopathie interstitielle,Arthralgie,Crampe des membres inférieurs,Myalgie,Augmentation du volume de kystes ovariens,Polype vaginal,Lupus érythémateux cutané,Porphyrie cutanée tardive,Fatigue,Réactivation de réaction radique,Aménorrhée,Irrégularité du cycle,Elévation des taux d'estradiol,Kyste ovarien,Ménométrorragie,Métastase osseuse,Fibrome utérin,Réaction d'hypersensibilité,Sensation vertigineuse,Diarrhée,Constipation,Hépatite aiguë,Epaississement de l'endomètre,Hyperplasie de l'endomètre,Endométriose,Vomissement,Pancréatite aiguë","Surveillance gynécologique,Risque d'accident thrombo-embolique,Hypertriglycéridémie,Anomalie endométriale,Saignement vaginal anormal,Femme non ménopausée","Des cas d'allongement de l'intervalle QT ont été observés après l'administration de tamoxifène à des doses plusieurs fois supérieures à la dose recommandée, lors d'études cliniques.,Des manifestations neurologiques (tremblements, hyperréflexie, dysmétrie, vertiges, troubles de la marche, convulsions) ont été observées chez des patients recevant des fortes doses de tamoxifène lors d'études cliniques.",Cancérologie et hématologie,Carcinome mammaire,"NOLVADEX 10 mg, comprimé pelliculé, boîte de 100,NOLVADEX 20 mg, comprimé enrobé, boîte de 100 comprimés pelliculés,NOLVADEX 20 mg, comprimé enrobé, boîte de 30",Comprimé pelliculé,L02BA01,Tamoxifène,6118001181889,TAMOXIFENE,10MG,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME, 132.50   , 87.60   , 78.60   ,P,70%
240,NIZORAL,NIZORAL 200 mg Comprimé boîte de 10,Kétoconazole : 200 mg *,,,,,Infectiologie - Parasitologie,,"NIZORAL 200 mg, comprimé, boîte de 10",Comprimé,,,6118000011156,KETOCONAZOLE,200MG,MG,COMPRIME SECABLE,1 BOITE 10 COMPRIME, 193.40   , 127.90   , 193.40   ,P,0%
